индекс,Наименование,колво,цена,стоимость,date
134,скрытый гигиенический душ иддис,1,34650,34650,24.04.2022
135,подоконник комфорт 60 см,4,16000,64000,01.05.2022
136,подоконник хайтек 20 см,3.1,5000,15500,01.05.2022
137,заглушки,3,2000,6000,01.05.2022
138,доставка,1,2500,2500,01.05.2022
139,пена титан,3,2500,7500,01.05.2022
140,тройник на 20,10,100,1000,01.05.2022
141,тройник на 40,2,200,400,01.05.2022
142,клипса на 20,10,20,200,01.05.2022
143,тройник на 100,1,1300,1300,01.05.2022
144,мастика белый дом 4 кг,2,2700,5400,01.05.2022
145,Люстра в спальне,1,44000,44000,01.05.2022
146,пистолет для силикона,1,1300,1300,01.05.2022
147,ротгипс,7,2600,18200,01.05.2022
148,стяжка,4,1100,4400,01.05.2022
149,люк 25 на 30 (комфорт левша),1,25000,25000,09.05.2022
150,люк 30 на 40 (комфорт левша),1,35000,35000,09.05.2022
151,герметик,1,2000,2000,09.05.2022
152,фум лента,1,1500,1500,09.05.2022
153,доставка,1,3000,3000,09.05.2022
154,сифон в ванну,1,3100,3100,09.05.2022
155,akfix 705,1,2500,2500,09.05.2022
156,фуга (25 кг светло серая),1,2500,2500,09.05.2022
157,колеровка краски для стен,1,11820,11820,21.05.2022
158,Краска водоэмульсионная Dulux BINDO 3 проф. Спальня зал глубокомат. BW 9л,2,31437,62874,21.05.2022
159,Краска водоэмульсионная Dulux BINDO 7 проф. кордор глубокомат. BW 9л,1,37107,37107,21.05.2022
160,"Краска водоэмульсионная Dulux BINDO 7 проф. кордор глубокомат. BW 2,5л",1,12051,12051,21.05.2022
161,Подложка Солид гармошка 2мм 10.5м кв,6,3735,22410,21.05.2022
162,титан плиточный клей,4,1800,7200,23.05.2022
163,краска dulux bindo 2 9л,1,31437,31437,23.05.2022
164,"краска dulux bindo 2 4,5л",1,18333,18333,23.05.2022
165,штукатурка ротгипс,2,1900,3800,23.05.2022
166,алит декоративная (дождик),4,3330,13320,23.05.2022
167,грунтовка универсальная dulux base 9л,2,14301,28602,23.05.2022
168,пена титан 70 (для дверей),3,3654,10962,23.05.2022
169,клей для плинтуса Жидкие гвозди POINT 96-крист.прозрачный 280мл,3,2182.5,6547.5,23.05.2022
170,пена клей 60 секунд,1,4122,4122,23.05.2022
171,"уголок 0,3",10,292.5,2925,23.05.2022
172,стремянка,1,16933.5,16933.5,23.05.2022
173,вентилятор эра мотор,1,6300,6300,23.05.2022
174,валик,4,2277,9108,23.05.2022
175,валик рукоятка,2,1026,2052,23.05.2022
176,полотенцесушитель,1,55620,55620,23.05.2022
177,плинтус,26,2070,53820,23.05.2022
178,галтели (10 см),37,292.5,10822.5,23.05.2022
179,бумажный скотч 40 м,3,700,2100,22.05.2022
180,губка наждак ,5,500,2500,25.04.2022
181,akfix 705 большой ,1,2000,2000,25.04.2022
182,кисточки 5 см,3,250,750,25.04.2022
183,дверь на 70 глухая,1,51200,51200,25.04.2022
184,наличник телескопический комплект (5 шт),1,19700,19700,25.04.2022
185,комплект монтажный,1,39010,39010,25.04.2022
186,двери комплект,5,36000,180000,25.04.2022
187,добор телескопический комплект (3 шт),1,16100,16100,25.04.2022
188,мешки мусорные,6,65,390,25.04.2022
